Model,Accuracy,AUC,Precision,Recall,F1,MCC
Logistic Regression,0.740625,0.8190498831173977,0.7857142857142857,0.7374301675977654,0.760806916426513,0.4792991892750171
Decision Tree,0.715625,0.7101311462419273,0.7650602409638554,0.7094972067039106,0.736231884057971,0.43014088064820954
kNN,0.70625,0.7737430167597765,0.7202072538860104,0.776536312849162,0.7473118279569892,0.39935934252030936
Naive Bayes,0.734375,0.7927017710685843,0.7582417582417582,0.770949720670391,0.7645429362880887,0.4600152736603688
Random Forest,0.784375,0.8918736875470502,0.8055555555555556,0.8100558659217877,0.807799442896936,0.5622634960565389
XGBoost,0.8125,0.8787194421332066,0.8361581920903954,0.8268156424581006,0.8314606741573034,0.6202578002835413
